timestamp,acceleration
17-15-45.961692,-3128
17-15-46.017618,-2836
17-15-46.073387,-2920
17-15-46.129033,-2908
17-15-46.184840,-2964
17-15-46.240560,-2908
17-15-46.296305,-2992
17-15-46.352025,-2988
17-15-46.407699,-3076
17-15-46.463425,-2988
17-15-46.519162,-2980
17-15-46.574880,-3148
17-15-46.630618,-2912
17-15-46.686363,-2876
17-15-46.742107,-3084
17-15-46.797829,-3028
17-15-46.853546,-2988
17-15-46.909263,-3020
17-15-46.965005,-3020
17-15-47.020726,-2848
17-15-47.076452,-2836
17-15-47.132153,-3004
17-15-47.187880,-3040
17-15-47.243586,-3108
17-15-47.299285,-2828
17-15-47.354982,-2948
17-15-47.410673,-2848
17-15-47.466368,-2892
17-15-47.522103,-2924
17-15-47.577808,-2928
17-15-47.633537,-2996
17-15-47.689238,-3024
17-15-47.744997,-2944
17-15-47.800701,-2980
17-15-47.856397,-2828
17-15-47.912113,-2892
