timestamp,acceleration
21-34-49.561361,-3684
21-34-49.616917,-3532
21-34-49.672421,-3672
21-34-49.727976,-3624
21-34-49.783445,-3552
21-34-49.839258,-3548
21-34-49.894676,-3564
21-34-49.950121,-3644
21-34-50.005527,-3576
21-34-50.060949,-3656
21-34-50.116382,-3580
21-34-50.171826,-3540
21-34-50.227271,-3484
21-34-50.282700,-3592
21-34-50.338116,-3332
21-34-50.393523,-3672
21-34-50.448933,-3664
21-34-50.504371,-3472
21-34-50.559775,-3576
21-34-50.615172,-3380
21-34-50.670563,-3572
21-34-50.725954,-3372
21-34-50.781401,-3512
21-34-50.837041,-3736
21-34-50.892537,-3536
21-34-50.948002,-3592
21-34-51.003422,-3676
21-34-51.058867,-3672
21-34-51.114284,-3648
21-34-51.169690,-3512
21-34-51.225085,-3796
21-34-51.280478,-3660
21-34-51.335887,-3792
21-34-51.391306,-3488
21-34-51.446825,-3568
21-34-51.502266,-3484
21-34-51.557722,-3488
